PID,Ethnicity,share,Age,Gender,Village,Condition
QB34,Bandongo,NO,32.09589,F,Village2,intra
D131,BaYaka,YES,8,M,Village1,intra
D138,BaYaka,YES,10,M,Village1,intra
D132,BaYaka,YES,6,M,Village1,intra
D216,BaYaka,YES,10,M,Village1,intra
D136,BaYaka,YES,42,M,Village1,intra
D139,BaYaka,YES,7,F,Village1,intra
D218,BaYaka,YES,20,M,Village1,intra
D217,BaYaka,YES,18,M,Village1,intra
D220,BaYaka,YES,14,M,Village1,intra
D003,Bandongo,YES,14,M,Village1,intra
D034,Bandongo,YES,5,F,Village1,intra
D228,BaYaka,YES,9,F,Village1,intra
D033,Bandongo,YES,9,M,Village1,intra
D081,Bandongo,NO,5,M,Village1,intra
D224,BaYaka,YES,7,F,Village1,intra
D008,Bandongo,YES,5,M,Village1,intra
D045,Bandongo,NO,10,M,Village1,intra
D067,Bandongo,YES,12,M,Village1,intra
D219,BaYaka,YES,13,M,Village1,intra
D240,Bandongo,NO_RESPONSE,5,F,Village1,intra
D222,BaYaka,YES,13,M,Village1,intra
D069,Bandongo,YES,15,F,Village1,intra
D068,Bandongo,NO,8,F,Village1,intra
D246,BaYaka,YES,7,F,Village1,intra
D106,Bandongo,YES,7,M,Village1,intra
D105,Bandongo,NO,8,M,Village1,intra
D223,BaYaka,YES,12,M,Village1,intra
D099,Bandongo,YES,10,F,Village1,intra
D248,Bandongo,YES,11,F,Village1,intra
D226,BaYaka,YES,9,F,Village1,intra
D006,Bandongo,YES,17,F,Village1,intra
D244,BaYaka,YES,14,M,Village1,intra
D022,Bandongo,YES,20,M,Village1,intra
D083,Bandongo,NO,9,F,Village1,intra
D249,BaYaka,YES,11,M,Village1,intra
D016,Bandongo,NO,7,F,Village1,intra
D236,BaYaka,NO,12,M,Village1,intra
D251,Bandongo,NOT_SURE,12,F,Village1,intra
D255,Bandongo,YES,11,F,Village1,intra
D237,BaYaka,YES,13,M,Village1,intra
D254,Bandongo,YES,11,F,Village1,intra
D253,Bandongo,NO,12,M,Village1,intra
D227,BaYaka,YES,12,F,Village1,intra
